"","Period","Species","Area","Centroid_X","Centroid_Y","Elevation","Contraction","Distance","Overlap","Shift_Accelerate","Double_Back","Double_Back_Relative","PoleShift","Elevation_Group","PoleShift_km","Extinction","Extinction_Overlap"
"138","2050","Saxifraga callosa",25500.97,7.7990649404028,42.5527127003699,1577.11,-0.76,33.0058766231885,0.240650036150833,"1",0,0,-0.162173376518908,"0",18.0151276905486,0.3,0.3
"139","2050","Saxifraga camposii",18232.33,-3.6052847346452,39.4625819916518,1401.27,-0.19,291.440239110594,0.310136222810909,"-1",0,0,2.56176882977581,"0",284.356245550043,0.05,0.25
"140","2050","Saxifraga canaliculata",93.79,-4.78472222222222,43.0902777777778,2024,-0.99,60.3737080141834,0.00802388678942296,"-1",0,0,0.335083407804582,"0",37.2248283508292,0.7,0.7
"141","2050","Saxifraga capitata",1075251.84,-41.3262855839712,57.1552391786224,469.87,-0.02,218.202633488477,0.867460360649139,"-1",0,0,1.95860674576694,"0",218.081032081171,0.01,0.03
"142","2050","Saxifraga cardiophylla",116051.06,98.0932930258718,29.2610042048315,4330.86,-0.28,51.4386493613196,0.714114588116203,"-1",0,0,-0.414496986880298,"1",45.9443102449967,0.08,0.08
"143","2050","Saxifraga carpetana",67467.29,1.16672024783727,42.3190369028135,949.56,-0.21,255.147043504778,0.509444815501999,"-1",0,0,1.31364090834705,"0",145.90180680636,0.06,0.16
"144","2050","Saxifraga cebennensis",313328.91,0.677743790555305,43.5751941233382,609.56,0.51,110.365157431079,0.969218202336528,"1",0,0,0.695545915740524,"0",77.273182412602,0,0.01
"145","2050","Saxifraga cernua",1159522.16,-6.98825090595854,65.1732918968692,948.08,-0.21,586.34158406053,0.667431801987775,"-1",0,0,5.14841744760266,"0",573.81596490591,0.06,0.1
"146","2050","Saxifraga cespitosa",682594.81,-16.328202044369,66.8467704072445,503.9,-0.22,460.531818732731,0.666797900124406,"-1",0,0,3.9709883340095,"0",442.726414686554,0.06,0.1
"147","2050","Saxifraga chrysantha",843.87,-105.988970588235,39.218545751634,3755.18,-0.94,630.375309600526,0.0590975738755349,"-1",0,0,-4.5424970534662,"1",504.505454885933,0.51,0.51
"148","2050","Saxifraga cintrana",1558.13,-9.26950354609929,39.1972517730496,84.77,-0.59,10.451352352133,0.406925988420836,"-1",0,0,0.0074068957047686,"0",0.822307465813068,0.2,0.2
